Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2018,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 179/2                                 ,   7,   3,   43,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 180                                   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 182                                   ,   3,   1,   33,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 183                                   ,   88,   64,   73,   ,   2,   11,   ,   1,   ,   ,   5,   ,   ,   60,   8,   ,   3,   ,   ,   7,   ,   ,
§ 185                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 186                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 188                                   ,   475,   340,   72,   539,   31,   63,   2,   28,   ,   ,   103,   10,   ,   508,   77,   3,   46,   ,   ,   129,   12,   ,
§ 189                                   ,   468,   263,   56,  10 783,   26,   51,   ,   16,   ,   ,   25,   ,   ,   283,   48,   ,   22,   ,   ,   29,   ,   ,
§ 190/1                                 ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 191                                   ,   2,   1,   50,  3 000,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 192                                   ,   9,   1,   11,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 194                                   ,  1 418,   853,   60,   269,   62,   150,   3,   69,   ,   ,   172,   5,   ,   974,   149,   2,   107,   ,   ,   150,   5,   ,
§ 194A                                  ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/1                                 ,   7,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 196/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 199                                   ,   96,   61,   64,   ,   6,   12,   ,   1,   ,   ,   11,   1,   ,   60,   10,   ,   1,   ,   ,   11,   1,   ,
§ 200                                   ,   76,   57,   75,   ,   6,   13,   ,   2,   ,   ,   15,   1,   ,   52,   10,   ,   2,   ,   ,   13,   1,   ,
§ 201                                   ,   457,   361,   79,   ,   33,   12,   ,   31,   ,   ,   205,   4,   ,   395,   11,   ,   31,   ,   ,   217,   4,   ,
§ 201a                                  ,   15,   6,   40,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 201b                                  ,   8,   3,   38,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 202                                   ,   11,   9,   82,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 203                                   ,   4,   3,   75,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  6 301,  5 660,   90,   ,   427,   106,   4,   3,   ,   ,   8,   ,   ,  6 798,   100,   4,   3,   ,   ,   8,   ,   ,
§ 204                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 205                                   ,   11,   7,   64,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
